Sebep Kod,Sebep Açıklama,Zorunlu Alan,Sebep Nevi
1,AÇIKTAN ATANMA (İLK DEFA),Başlama Tarihi,1
2,AÇIKTAN ATANMA (TEKRAR),Başlama Tarihi,1
3,AÇIKTAN ATANMA (MAHKEME KARARI GEREĞİNCE),Başlama Tarihi,1
4,TERFİ (E.K.E.A. KADEME İLERLEME)657/64. MAD.,Başlama Tarihi,5
5,TERFİ (E.K.E.A. DERECE İLERLEME)657/68. MAD. A FIK.,Başlama Tarihi,5
6,TERFİ (K.H.A. KADEME İLERLEME)657/64. MAD,Başlama Tarihi,5
7,TERFİ (K.H.A. DERECE İLERLEME)657/68. MAD. A FIK.,Başlama Tarihi,5
8,TERFİ (ÖDEMEYE ESAS DERECE İLERLEME),Başlama Tarihi,5
9,TERFİ (ÖDEMEYE ESAS DERECE İLERLEME) 657/68. MAD. B FIK.,Başlama Tarihi,5
10,TERFİ (KADRO DERECE İLERLEME),Başlama Tarihi,5
11,TERFİ (KADRO),Başlama Tarihi,5
12,TERFİ (GÖREV AYLIĞI KADEME İLERLEME),Başlama Tarihi,5
13,TERFİ (GÖREV AYLIĞI DERECE İLERLEME),Başlama Tarihi,5
14,657 S.K. 36. MD. A BEND. 1. FIKR. (AVUKATLIK STAJI),Başlama Tarihi,5
15,657 S.K. 36. MD. A BEND. 2. FIKR. GER. 1 DERECE,Başlama Tarihi,5
16,657 S.K. 36. MD. A BEND. 3. FIKR. GER. 1 DERECE,Başlama Tarihi,5
17,657 S.K. 36. MD. A BEND. 4. FIKR. GER. 1 DERECE,Başlama Tarihi,5
18,657 S.K. 36. MD. A BEND. 5. FIKR. GER. 1 DERECE,Başlama Tarihi,5
19,657 S.K. 36. MD. A BEND. 6-A FIKR. GER.,Başlama Tarihi,5
20,657 S.K. 36. MD. A BEND. 6-B FIKR. (HAZIRLIK SINIFI),Başlama Tarihi,5
21,657 S.K. 36. MD. A BEND. 7-A FIKR. GER.,Başlama Tarihi,5
22,657 S.K. 36. MD. A BEND. 7-B FIKR. (HAFIZLIK),Başlama Tarihi,5
23,657 S.K. 36. MD. A BEND. 8-A FIKR. (EMNİYET HİZ.),Başlama Tarihi,5
24,657 S.K. 36. MD. A BEND. 8-B FIKRASI,Başlama Tarihi,5
25,657 S.K. 36. MD. A BEND. 8-C FIKRASI,Başlama Tarihi,5
26,657 S.K. 36. MD. A BEND. 9. FIK. (MASTER- YÜKSEK LİSANS),Başlama Tarihi,5
27,657 S.K. 36. MD. A BEND. 9. FIK. (LİSANSÜSTÜ İHTİSAS),Başlama Tarihi,5
28,657 S.K. 36. MD. A BEND. 9. FIK. (TIPTA UZMANLIK),Başlama Tarihi,5
29,657 S.K. 36. MD. A BEND. 9. FIK. (DOKTORA),Başlama Tarihi,5
30,657 S.K. 36. MD. A BEND. 10. FIKRASI (DOÇENT),Başlama Tarihi,5
31,657 S.K. 36. MD. A BEND. 11. FIKRASI,Başlama Tarihi,5
32,657 S.K. 36. MD. A BEND. 12-A FIKRASI,Başlama Tarihi,5
33,657 S.K. 36. MD. A BEND. 12-B FIKRASI,Başlama Tarihi,5
34,657 S.K. 36. MD. A BEND. 12-C FIK. (TODAİE),Başlama Tarihi,5
35,657 S.K. 36. MD. A BEND. 12-D FIK. (ÖĞRENİM DEĞİŞİKLİĞİ),Başlama Tarihi,5
36,657 S.K. 36. MD. B BEND. 1. FIKRASI,Başlama Tarihi,5
37,657 S.K. 36. MD. B BEND. 2. FIKRASI,Başlama Tarihi,5
38,657 S.K. 36. MD. B BEND. 3-A FIKRASI,Başlama Tarihi,5
39,657 S.K. 36. MD. B BEND. 3-B FIKRASI,Başlama Tarihi,5
40,657 S.K. 36. MD. B BEND. 3-C FIKRASI,Başlama Tarihi,5
41,657 S.K. 36. MD. C BEND. 1. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
42,657 S.K. 36. MD. C BEND. 2. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
43,657 S.K. 36. MD. C BEND. 3. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
44,657 S.K. 36. MD. C BEND. 4. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
45,657 S.K. 36. MD. C BEND. 5. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
46,657 S.K. 36. MD. C BEND. 6. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
47,657 S.K. 36. MD. C BEND. 7. FIKRASI HİZ. DEĞ.,Başlama Tarihi,5
48,657 S.K. 37. MD. GEREĞİ DERECE YÜKSELTİLMESİ (6 YILLIK SİCİL ORT. NEDENİYLE),Başlama Tarihi,5
49,EMEKLİLİK (İSTEKLE),Bitiş Tarihi,2
50,EMEKLİLİK (AÇIKTAN İSTEKLE),Bitiş Tarihi,2
51,EMEKLİLİK (MALUL),Bitiş Tarihi,2
52,EMEKLİLİK (AÇIKTAN MALUL),Bitiş Tarihi,2
53,EMEKLİLİK (YAŞ HADDİNDEN),Bitiş Tarihi,2
54,EMEKLİLİK (AÇIKTAN YAŞ HADDİNDEN),Bitiş Tarihi,2
55,EMEKLİLİK (İSTEKLE YAŞ HADDİNDEN),Bitiş Tarihi,2
56,EMEKLİLİK (AÇIKTAN İSTEKLE YAŞ HADDİNDEN),Bitiş Tarihi,2
57,EMEKLİLİK (VAZİFE MALULÜ),Bitiş Tarihi,2
58,EMEKLİLİK (RE'SEN),Bitiş Tarihi,2
59,EMEKLİLİK (SİCİLEN),Bitiş Tarihi,2
60,EMEKLİLİK,Bitiş Tarihi,2
61,EMEKLİLİK (5434 S.K. GÖRE SAKATLIK),Bitiş Tarihi,2
62,EMEKLİLİK (5510 S.K. GÖRE SAKATLIK),Bitiş Tarihi,2
63,VEFAT (ECELİYLE),Bitiş Tarihi,2
64,VEFAT (ASKERDE İKEN),Bitiş Tarihi,2
65,VEFAT (GÖREV ESNASINDA),Bitiş Tarihi,2
66,VEFAT (GÖREV HARİCİ),Bitiş Tarihi,2
67,VEFAT (İNTİHAR),Bitiş Tarihi,2
68,EMEKLİLİK (5434 S.K. GEÇ. 192. MD. GÖRE İSTEKLE),Bitiş Tarihi,2
69,NAKLEN TAYİN GİDEN (KAMU İDARESİ İÇİ),Bitiş Tarihi,6
70,NAKLEN TAYİN GİDEN (KAMU İDARESİ DIŞI),Bitiş Tarihi,6
71,NAKLEN TAYİN GELEN (KAMU İDARESİ İÇİ),Başlama Tarihi,5
72,NAKLEN TAYİN GELEN (KAMU İDARESİ DIŞI),Başlama Tarihi,5
73,NAKLEN TAYİN GELEN (ÖZELLEŞEN KURUMLARDAN),Başlama Tarihi,5
74,657 S.K. 125/D BENDİ UYARINCA KADEME İLERLEMESİNİN DURDURULMASI (1 YIL),Başlama Tarihi,5
75,657 S.K. 125/D BENDİ UYARINCA KADEME İLERLEMESİNİN DURDURULMASI (2 YIL),Başlama Tarihi,5
76,657 S.K. 125/D BENDİ UYARINCA KADEME İLERLEMESİNİN DURDURULMASI (3 YIL),Başlama Tarihi,5
77,2182 S.K. UYARINCA 1 DERECE YÜKSELTİLMESİ (01.03.1979),Başlama Tarihi,5
78,KADEME İLERLEMESİNİN DURDURULMASI 657-64/B (OLUMSUZ SİCİL),Başlama Tarihi,5
79,"457,458,459 S.K.H.K. UYARINCA 1 DERECE YÜKSELTİLMESİ (15.10.1991)",Başlama Tarihi,5
80,5289 S.K. UYARINCA 1 DERECE YÜKSELTİLMESİ (15.01.2005),Başlama Tarihi,5
81,657 S.K. 71. MD. UYARINCA,Başlama Tarihi,5
82,5434 S.K. EK 18. MD. UYA. HİZMETLERİN E.K.E.A. DEĞERLENDİRİLMESİ,Başlama Tarihi,5
83,TERFİ (K.H.A. VE E.K.E.A.),Başlama Tarihi,5
84,TERFİ (K.H.A. VE GÖREV AYLIĞINDA),Başlama Tarihi,5
85,657 S.K. 67. MD. GEREĞİ TERFİ (243/10 S.K.H.K.),Başlama Tarihi,5
86,ASALET TASTİKİ,Başlama Tarihi,5
87,ASALET TASTİKİ VE İNTİBAK (HİZMET DEĞERLENDİRİLDİ),Başlama Tarihi,5
88,TERFİ (K.H.A. GÖREV/ÖDEME AYLIĞI VE E.K.E.A),Başlama Tarihi,5
89,STAJYERLİĞİN KALDIRILMASI,Bitiş Tarihi,6
90,STAJYERLİĞİN UZATILMASI,Başlama Tarihi,5
91,STAJYERLİKTE GEÇEN HİZMETLERİN DEĞERLENDİRİLMESİ,Başlama Tarihi,5
92,AYLIKSIZ İZİN SÜRESİ DÜŞÜLEREK TERFİ,Başlama Tarihi,5
93,657 S.K. 243/9 EK 64. MAD. 90 PUAN (6 YILLIK SİCİL ORTALAMASI 1 KADEME),Başlama Tarihi,5
94,PROFESÖRLÜĞE ATANMA,Başlama Tarihi,5
95,657 S.K. 631 S.K.H.K. DEĞİŞİK 67. MD. GEREĞİ TERFİ,Başlama Tarihi,5
96,İSTİFA,Bitiş Tarihi,2
97,MÜSTAFİ,Bitiş Tarihi,2
98,MAHALLİ İDARELER SEÇİMLERİ İÇİN İSTİFA,Bitiş Tarihi,2
99,MAHALLİ İDARELER SEÇİMLERİ SONRASI GÖREVE BAŞLAMA,Başlama Tarihi,1
100,MİLLETVEKİLİ SEÇİMLERİ İÇİN İSTİFA,Bitiş Tarihi,2
101,MİLLETVEKİLİ SEÇİMLERİ SONRASI GÖREVE BAŞLAMA,Başlama Tarihi,1
102,MAHALLİ İDARELER SEÇİMLERİNE GİRMEDEN GÖREVE BAŞLAMA,Başlama Tarihi,1
103,MİLLETVEKİLİ SEÇİMLERİNE GİRMEDEN GÖREVE BAŞLAMA,Başlama Tarihi,1
104,GÖREV SÜRESİNİN SONA ERMESİ,Bitiş Tarihi,2
105,SÖZLEŞME FESHİ,Bitiş Tarihi,2
106,657 S.K. 77. MD. GEREĞİ AYLIKSIZ İZİNE AYRILDI,Bitiş Tarihi,2
107,657 S.K. 78. MD. GEREĞİ AYLIKSIZ İZİNE AYRILDI,Bitiş Tarihi,2
108,657 S.K. 108. MD. GEREĞİ AYLIKSIZ İZİNE AYRILDI,Bitiş Tarihi,2
109,PERSONEL KANUNU GEREĞİ AYLIKSIZ İZİNE AYRILDI,Bitiş Tarihi,2
110,SENDİKA GÖREVİ NEDENİYLE AYLIKSIZ İZİNE AYRILDI,Bitiş Tarihi,2
111,BAŞKA KURUMDA GÖREVLENDİRME NEDENİYLE AYLIKSIZ İZİNE AYRILDI,Bitiş Tarihi,2
112,AYLIKSIZ İZİN DÖNÜŞÜ GÖREVE BAŞLAMA,Başlama Tarihi,1
113,AYLIKSIZ İZİN DÖNÜŞÜ İSTİFA ETTİ,Bitiş Tarihi,2
114,AYLIKSIZ İZİN DÖNÜŞÜ MÜSTAFİ,Bitiş Tarihi,2
115,657 S.K. GEREĞİ SİLAH ALTINA ALINMA,Bitiş Tarihi,2
